index	name	type	date	mouse	sex	Hes1	Hey1	Hes1_plus_Hey1
74	09-18 10p02	pooled	2019-09-18	F8519	female	0.694882574299795	7.71094174805183	8.40582432235162
75	09-18 10p04	pooled	2019-09-18	F8519	female	1.26928022465239	2.54490595318799	3.81418617784038
76	07-09 10p06	pooled	2019-07-09	M8516	male	0	0	0
77	07-16 10c06	ten-cell	2019-07-16	M8516	male	0	0	0
78	08-12 10p07	pooled	2019-08-12	F8520	female	0	0	0
79	08-15 10c03	ten-cell	2019-08-15	F8520	female	0.553229831463939	7.91144781206913	8.46467764353307
80	09-02 10p07	pooled	2019-09-02	M8518	male	0.309387228987988	4.02747261368489	4.33685984267288
81	09-16 10p03	pooled	2019-09-16	F8519	female	0	9.11288814576516	9.11288814576516
82	09-16 10p01	pooled	2019-09-16	F8519	female	0	3.00562000293616	3.00562000293616
83	08-15 10c02	ten-cell	2019-08-15	F8520	female	0	0	0
84	08-22 10p04	pooled	2019-08-22	F8520	female	0	5.1869317941073	5.1869317941073
85	09-02 10p03	pooled	2019-09-02	M8518	male	0.280111472814068	6.88528054636616	7.16539201918023
86	09-04 10p01	pooled	2019-09-04	M8518	male	0	0.27642735728344	0.27642735728344
87	09-16 10c08	ten-cell	2019-09-16	F8519	female	0	0	0
88	09-18 10c04	ten-cell	2019-09-18	F8519	female	0.264193587944258	6.7537268707297	7.01792045867396
89	09-23 10p02	pooled	2019-09-23	F8519	female	0	0	0
90	07-09 10c07	ten-cell	2019-07-09	M8516	male	0	0	0
91	08-12 10c03	ten-cell	2019-08-12	F8520	female	3.92666190780171	0	3.92666190780171
92	09-04 10c02	ten-cell	2019-09-04	M8518	male	0	3.96033881242291	3.96033881242291
93	09-04 10c04	ten-cell	2019-09-04	M8518	male	0	1.1761849713133	1.1761849713133
94	08-12 10c08	ten-cell	2019-08-12	F8520	female	0	7.69339157343563	7.69339157343563
95	08-22 10c06	ten-cell	2019-08-22	F8520	female	0	0	0
96	07-09 10c02	ten-cell	2019-07-09	M8516	male	0.758399088927723	7.16694339336061	7.92534248228834
